id,name,date_of_birth,nationality
1440,Mo Rosser,1975-09-25,Brazilian
1441,Thomas W. Myers,1929-10-13,Chinese
1442,Pamela Reid,1973-08-24,Chinese
1443,Ian Stewart,1971-01-05,Portuguese
1444,Rick Delorme,1976-05-27,Australian
1445,Ahmir Thompson,1928-11-15,Japanese
1446,Louis de Bernieres,1953-04-18,Nigerian
1447,Melinda Blau,1934-10-09,Brazilian
1448,Ehrenfried E. Pfeiffer,1989-03-23,Jamaican
1449,Andrew Rule,1967-11-24,Japanese
1450,Steven Isserlis,1967-07-23,American
1451,David Peter Stroh,1967-12-01,Nigerian
1452,Arvind Narayanan,1932-09-21,Brazilian
1453,Douglas Purdie,1960-02-05,Israeli
1454,Isabel L. Beck,1945-01-18,Swedish
1455,Ayn Rand,1929-10-19,Thai
1456,Dr Tedd Tripp,1966-08-28,American
1457,Francine Prose,1929-03-15,Jamaican
1458,Mary E. Pearson,1931-02-04,Japanese
1459,Jean Shinoda Bolen,1926-08-22,Swedish
1460,Shaolan,1950-09-13,Canadian
1461,Rebecca Solnit,1980-05-19,French
1462,Mats & Enzo,1957-12-17,French
1463,American College of Veterinary Behaviorists,1954-09-19,Japanese
1464,Karen Page,1941-02-13,Saudi Arabian
1465,Penny Mukherji,1959-06-22,Brazilian
1466,Geoffrey Willans,1924-12-08,Egyptian
1467,George Berkowski,1926-08-02,Japanese
1468,Vicki Myron,1947-07-30,Korean
1469,Richard Smith,1926-09-17,Indian
1470,Peter Van Der Linden,1967-01-07,Polish
1471,Clive Cussler,1953-02-22,Russian
1472,Nischala Joy Devi,1932-11-26,Japanese
1473,David McKee,1930-03-09,Greek
1474,Gavin Aung Than,1936-05-29,Korean
1475,Chad Fowler,1965-12-26,Swedish
1476,Jonathan Tepper,1958-08-17,Portuguese
1477,P. D. Davis,1971-07-27,Thai
1478,Fu-Tung Cheng,1972-08-31,German
1479,Steve Toltz,1944-01-03,Polish
1480,Cheryle R. Hart,1933-04-18,Egyptian
1481,Henry T. Blackaby,1985-01-22,Portuguese
1482,Erik von Markovik,1945-02-06,Spanish
1483,Collectif,1954-08-23,German
1484,Kelly Slater,1955-04-18,Swedish
1485,Jack Kornfield,1976-12-06,Spanish
1486,Andrea J Buchanan,1983-03-20,Australian
1487,Busy Philipps,1949-01-22,Thai
1488,Kaori Tsutaya,1967-05-12,French
1489,Neil Shubin,1944-06-22,French
1490,Joanne K. Rowling,1988-11-04,Indian
1491,Claire Weekes,1931-09-12,French
1492,Murray Longmore,1984-06-07,Israeli
1493,David Coles,1945-06-21,Chinese
1494,Herve Tullet,1926-09-30,Polish
1495,Liliane Arnet,1964-02-23,Spanish
1496,Dodinsky,1922-08-03,Chinese
1497,Buddy Valastro,1925-03-21,Brazilian
1498,Moby,1989-12-10,Greek
1499,Tim Minchin,1979-03-04,British
1500,Sally E. Shaywitz,1948-03-15,Egyptian
1501,Anna Jones,1944-11-24,Korean
1502,Mike Collins,1920-10-15,Nigerian
1503,Simon Fitzmaurice,1928-12-27,British
1504,Thant Myint-U,1924-10-01,Turkish
1505,Sanaya Roman,1942-02-06,Egyptian
1506,Mary R Burch,1934-10-30,Kenyan
1507,John W. Foreman,1922-08-01,Mexican
1508,Ben Orlin,1969-05-21,Greek
1509,Jonathan Drori,1971-10-29,Indian
1510,Elaine N. Marieb,1983-04-27,Indian
1511,Eiichiro Oda,1956-05-29,Canadian
1512,Gale Bernhardt,1955-02-11,Indian
1513,Erling Kagge,1986-11-27,Irish
1514,Mick Inkpen,1976-04-02,Spanish
1515,Norma Miller,1933-01-22,Peruvian
1516,Jenni Anne Marie Donohoo,1983-09-22,French
1517,Tim Lautzenheiser,1969-01-23,Thai
1518,Hugh Johnson,1954-09-02,Spanish
1519,Imogen Edwards-Jones,1986-04-04,Russian
1520,Mark Williams,1951-02-25,Canadian
1521,Paramahansa Yogananda,1953-02-04,Irish
1522,Carol Strickler,1980-11-29,Australian
1523,Dennis Adler,1921-11-15,Mexican
1524,John Romer,1977-04-22,Mexican
1525,Brad Gilbert,1939-07-25,British
1526,William Morris,1979-08-14,Chinese
1527,Paul Graham,1974-09-04,Jamaican
1528,Becker & Mayer,1958-01-13,Canadian
1529,Donncha Hanna,1923-12-06,Japanese
1530,Mary Randolph Carter,1985-04-18,Canadian
1531,Annie Barrows,1967-02-13,Indian
1532,Shaun Bythell,1965-09-12,Peruvian
1533,Mana Takahashi,1978-02-19,Malaysian
1534,Martin McDonagh,1981-11-25,Kenyan
1535,Jonathan Sacks,1924-03-19,German
1536,Kate Pankhurst,1936-11-14,Mexican
1537,Brenda Miller,1954-06-13,Saudi Arabian
1538,N. Katherine Hayles,1970-12-21,Russian
1539,Michael Marmot,1933-01-28,Japanese
1540,Charlie Corke,1972-03-09,Turkish
1541,Kate Greenaway,1942-11-11,Thai
1542,G Iacovoni,1940-04-14,Saudi Arabian
1543,Grandmaster Yip Chun,1969-04-22,Polish
1544,Jesse Klausmeier,1973-09-10,Turkish
1545,Lisa Crispin,1921-05-20,Kenyan
1546,Walter Whitman,1973-09-01,Kenyan
1547,Sophie Simpson,1980-07-26,Malaysian
1548,Maja SÄFstrÖM,1920-07-06,Irish
1549,Jude Welton,1949-05-24,Spanish
1550,Mark Lutz,1941-02-09,Canadian
1551,Grace Helbig,1963-01-14,Mexican
1552,Charlaine Harris,1921-04-19,Brazilian
1553,Daphne Hewson,1920-07-21,Peruvian
1554,Mimi Spencer,1976-11-30,Peruvian
1555,Christie Watson,1946-03-07,Thai
1556,Lucy H. Pearce,1933-09-17,Polish
1557,J. M. Roberts,1973-08-09,Indian
1558,Lew Bryson,1958-04-29,Russian
1559,Dan Delaney,1958-12-19,British
1560,Fritjof Capra,1937-05-12,Egyptian
1561,Allan Savory,1947-08-28,Greek
1562,Marcus Wareing,1976-07-09,Russian
1563,Lucy Watson,1959-12-18,Thai
1564,James Hall,1933-08-31,Greek
1565,Guy Delisle,1977-10-20,Swedish
1566,Todd Parr,1950-08-20,Portuguese
1567,Eric Enge,1930-06-09,Italian
1568,Craig Ferguson,1922-07-29,Brazilian
1569,Ian MacDonald,1923-05-21,Irish
1570,Lucasfilm,1961-01-24,Kenyan
1571,Jim Eames,1982-06-23,Chinese
1572,Insight Editions,1929-03-18,German
1573,Geoff Dyer,1930-11-20,Portuguese
1574,C. G. Jung,1947-03-15,American
1575,Helen Hardt,1938-01-04,Greek
1576,Sri  Nisargadatta Maharaj,1973-09-29,Japanese
1577,Erin Boyle,1985-05-15,Korean
1578,David F. Tolin,1934-09-04,Thai
1579,Joanna Cole,1940-03-27,Greek
1580,Lynda Farrington Wilson,1928-08-09,Irish
1581,Lyn Wendon,1963-10-17,Nigerian
1582,Florence Nightingale,1942-02-10,Australian
1583,Eric Swanson,1967-12-07,Thai
1584,Walter Isaacson,1949-04-23,Irish
1585,Ella Mills Woodward,1939-03-14,Portuguese
1586,Sarah Buckley,1966-06-30,Spanish
1587,Hill,1985-05-06,Egyptian
1588,Hannah Crum,1942-04-04,Polish
1589,Hunter Allen,1947-05-15,Polish
1590,Martin Walker,1939-06-11,German
1591,Elizabeth Gilbert,1989-01-30,Korean
1592,Susan M. Orsillo,1966-11-13,Greek
1593,Publications Dover,1959-07-31,American
1594,Nicholas J. Brown,1942-09-24,Saudi Arabian
1595,John Mitchinson,1963-12-05,French
1596,Diana Richardson,1983-04-16,Brazilian
1597,Derek Prince,1964-11-15,Peruvian
1598,Sam Allberry,1948-03-11,Canadian
1599,Jim Mattis,1974-01-04,Mexican
1600,P. D. James,1927-02-14,Spanish
1601,Esther Gokhale,1988-08-12,Indian
1602,Ray D Bradbury,1965-08-17,Jamaican
1603,Blaise Aguirre,1952-04-03,Chinese
1604,James Kerr,1982-05-15,German
1605,Tim Burton,1942-06-26,Malaysian
1606,"Julieanna Hever MS, Rd, CPT",1971-01-13,American
1607,Sylvia Langfield,1934-08-11,Korean
1608,Janet Evanovich,1969-12-10,Canadian
1609,Sgt. Rory Miller,1969-07-20,Israeli
1610,Steve Wiper,1942-10-23,Greek
1611,Donald Miller,1972-06-04,Australian
1612,Kent Beck,1970-05-08,Korean
1613,Arthur Schopenhauer,1938-03-05,Japanese
1614,Angela Marsons,1990-09-02,Chinese
1615,Carol Marine,1973-03-14,Australian
1616,Julie Adair King,1925-04-29,French
1617,Bryan Stevenson,1970-11-27,Swedish
1618,Rupert Sheldrake,1953-07-20,Italian
1619,Shelby Lorman,1938-08-16,Australian
1620,Helen Fairbairn,1931-03-28,Portuguese
1621,Nick Neddo,1979-12-02,Peruvian
1622,Preethaji,1989-08-21,Chinese
1623,Bill Simmons,1952-09-08,Turkish
1624,Alasdair K. B. Ruthven,1931-04-08,Chinese
1625,Daniel J. Levitin,1956-08-21,Peruvian
1626,Chris Goss,1947-11-10,Spanish
1627,Russell Brand,1943-10-14,Mexican
1628,Chris Baldick,1944-08-02,Japanese
1629,Alison Castle,1948-02-27,Israeli
1630,Kirsteen Robson,1979-11-30,Italian
1631,Cassandra Clare,1951-05-18,Indian
1632,Ryan Serhant,1939-12-19,Turkish
1633,Dan Ariely,1943-09-08,Egyptian
1634,Malcolm X,1920-06-10,American
1635,J. Murtagh,1967-02-19,Indian
1636,Lesley Bolton,1921-04-05,Australian
1637,M. R. Storey,1935-04-10,American
1638,Aye Jay Morano,1955-05-16,Saudi Arabian
1639,Andrew Matheson,1969-02-16,Russian
1640,Paulene Christie,1956-04-09,Mexican
1641,Joe Sacco,1949-01-16,American
1642,Licks,1930-03-13,Italian
1643,Jen Fisch,1983-01-25,Portuguese
1644,Harold Gatty,1953-01-11,Italian
1645,John Riley,1972-12-27,American
1646,Mevlana Jalaluddin Rumi,1928-09-12,Nigerian
1647,George Megalogenis,1939-11-14,Turkish
1648,Mors Kochanski,1973-10-28,French
1649,Sally Kempton,1988-04-28,Indian
1650,Judith Viorst,1989-06-18,Japanese
1651,Ernst Haeckel,1968-11-17,Brazilian
1652,Kiyohiko Azuma,1941-04-02,British
1653,Amy Weintraub,1934-07-22,Russian
1654,Dan S. Kennedy,1923-05-19,Spanish
1655,Dr Joseph Mercola,1941-08-02,Spanish
1656,Kenny Werner,1980-10-11,Israeli
1657,Dave Eggers,1981-03-28,Spanish
1658,Tessa Bailey,1921-10-07,Canadian
1659,Office of Government Commerce,1944-01-08,Thai
1660,Luke Jones,1969-08-22,Malaysian
1661,Jake Paul,1938-02-21,Kenyan
1662,William Hewitt,1950-12-25,Australian
1663,Alex Bellos,1988-02-06,Mexican
1664,Sandi Fellman,1933-09-21,Egyptian
1665,Aleksandr Solzhenitsyn,1988-12-16,American
1666,Louise Burke,1926-01-26,Turkish
1667,Gabbie Stroud,1921-03-13,Brazilian
1668,Louisa May Alcott,1960-06-11,Indian
1669,Toby Walsh,1967-09-10,Brazilian
1670,David Berceli,1952-10-25,Israeli
1671,T. Colin Campbell,1956-05-26,Egyptian
1672,Gary Provost,1944-04-20,Egyptian
1673,Chris Bradley,1985-07-15,Spanish
1674,Richard James,1952-05-03,Australian
1675,New Holland Publishers,1982-04-26,Greek
1676,Rand Fishkin,1982-10-13,Thai
1677,Adam Hochschild,1968-12-18,Spanish
1678,Sean Dooley,1985-01-27,American
1679,Shawn Stevenson,1974-03-14,Irish
1680,Tudor Bompa,1938-01-02,French
1681,Hermes Trismegistus,1972-02-26,Chinese
1682,Ph.D. Patricia B. McConnell,1983-03-20,Kenyan
1683,Clive King,1959-04-03,Irish
1684,Ron Smith,1958-06-01,Jamaican
1685,Kuki Gallmann,1947-04-04,Portuguese
1686,Mick Goodrick,1990-04-19,Israeli
1687,Armistead Maupin,1957-07-17,Australian
1688,Patrick Barclay,1988-10-08,Mexican
1689,Susan Orlean,1981-05-28,Israeli
1690,Tetsu Kariya,1950-01-18,French
1691,Maxim Jakubowski,1943-11-29,Thai
1692,Roman Bystrianyk,1971-04-28,Korean
1693,James Nestor,1982-03-22,Russian
1694,Brad Feld,1934-08-19,Egyptian
1695,Brendan Gregg,1972-11-19,Spanish
1696,Diane Ackerman,1920-09-24,Polish
1697,Mark Z. Danielewski,1982-01-01,American
1698,Cait Flanders,1971-05-21,Spanish
1699,Jerry L. Sittser,1945-10-06,Egyptian
1700,Robert Jordan,1972-05-19,German
1701,Heather Morris,1965-09-25,Malaysian
1702,Bill Gammage,1924-04-08,Turkish
1703,Jay McTighe,1954-03-18,British
1704,Robert McCloskey,1981-11-01,Malaysian
1705,Kumon,1976-12-12,Australian
1706,Tom Jaine,1981-07-08,Irish
1707,Rose Elliot,1974-09-26,Canadian
1708,Simone Anderson,1981-05-13,Saudi Arabian
1709,Bob Hoover,1978-05-24,Indian
1710,Murasaki Shikibu,1956-04-03,Malaysian
1711,Heather Smith Jones,1986-06-01,Thai
1712,Ruth Brocklehurst,1944-08-24,Malaysian
1713,Rachel Roddy,1962-03-01,Canadian
1714,Ian Gilbert,1938-08-03,Kenyan
1715,Kew Royal Botanic Gardens,1938-04-21,German
1716,Neal Ford,1958-08-02,Spanish
1717,Raymond Carver,1941-06-27,Italian
1718,M. L. Rio,1980-02-02,Nigerian
1719,Chris Johnston,1949-01-28,Italian
1720,Chris Dickason,1970-01-25,Irish
1721,Jane Wallace,1935-10-27,Japanese
1722,Charlie Higson,1981-07-28,Malaysian
1723,Jenny McCarthy,1959-04-04,Greek
1724,M.H. Rider,1943-12-02,German
1725,Luciana Ziglio,1979-10-11,Korean
1726,Francis Martin,1944-07-22,French
1727,Joshua Glenn,1961-06-23,Peruvian
1728,Caspar Henderson,1936-01-21,Indian
1729,Oliver Holt,1939-07-19,German
1730,Jon Skeet,1957-10-03,Thai
1731,Steve Koerner,1976-07-14,Malaysian
1732,P. D. Eastman,1940-09-26,Canadian
1733,Stuart Turton,1975-09-20,Portuguese
1734,Antoine de Saint-Exupery,1964-03-25,Indian
1735,Clinton Ober,1946-10-23,Peruvian
1736,Jerold J. Kreisman,1963-02-20,Malaysian
1737,Charles Perrow,1961-04-01,Japanese
1738,Emily K. Neuburger,1972-07-09,American
1739,Isuna Hasekura,1925-09-09,Japanese
1740,Svend Brinkmann,1928-02-22,Indian
1741,Dave Canterbury,1941-10-01,Greek
1742,Viet Thanh Nguyen,1947-07-12,Canadian
1743,Dicken Weatherby,1961-11-03,Saudi Arabian
1744,Lynne Murray,1926-02-03,German
1745,Joshua Fields Millburn,1965-02-12,Polish
1746,Suzanna Clarke,1939-05-24,Kenyan
1747,Daniel J Siegel,1966-05-22,American
1748,Dr Stephen R Covey,1975-08-30,French
1749,Lora Leigh,1979-01-23,Kenyan
1750,Tom Greever,1950-10-17,French
1751,Huw Lewis-Jones,1926-01-10,German
1752,Alice Curtis,1971-06-22,Korean
1753,Yoko Saito,1953-04-30,Chinese
1754,Maki Ogawa,1955-12-28,Italian
1755,Marina Le Ray,1937-10-25,Russian
1756,Neal Stephenson,1927-04-08,Malaysian
1757,Albert G. Smith,1988-09-24,Portuguese
1758,Pamela Smith,1987-12-04,Saudi Arabian
1759,David Deutsch,1944-12-05,Polish
1760,Ann Rule,1972-09-15,Greek
1761,John Muir,1952-10-23,Spanish
1762,Mari Fujimoto,1977-09-03,Japanese
1763,Alona Pulde,1942-08-06,Jamaican
1764,David Dosa,1974-03-10,Italian
1765,Gavin Menzies,1964-09-24,Spanish
1766,Philippa Gregory,1975-06-17,Portuguese
1767,Pat Zietlow Miller,1923-12-10,Thai
1768,Patrick J. Carnes,1955-06-12,Turkish
1769,Cho Ilasco,1961-12-03,Australian
1770,Philip Kotler,1939-12-20,Egyptian
1771,Sabine Durrant,1966-04-12,Italian
1772,Dr. Joseph Murphy,1941-12-29,Canadian
1773,Lia Griffith,1941-09-15,Australian
1774,Henri Charriere,1940-12-27,Malaysian
1775,Andrew Crowe,1923-04-20,Egyptian
1776,Yan Schenkel,1937-10-07,Italian
1777,Stan Bray,1926-07-02,Turkish
1778,Kirk Wallace Johnson,1966-08-10,French
1779,David Goldblatt,1969-08-28,Spanish
1780,Sally Fallon,1960-04-26,Thai
1781,Archibald Gracie,1957-07-02,Japanese
1782,Donald E. Knuth,1978-12-05,British
1783,The Pokemon Company International Inc,1947-06-15,Brazilian
1784,Karen MacNeil,1966-07-01,Peruvian
1785,Martha C. Nussbaum,1975-07-02,Saudi Arabian
1786,David Day,1981-07-14,Thai
1787,Dr Robert J Marzano,1940-07-23,Mexican
1788,Halpern,1961-11-19,Kenyan
1789,HANNAH LAMB,1956-10-18,Peruvian
1790,Richard Littler,1938-03-19,American
1791,Michael Lopp,1957-02-01,Indian
1792,Jeff Brown,1950-12-18,Thai
1793,McMinn,1977-06-21,Brazilian
1794,George Robert Elford,1960-07-08,Polish
1795,Vance Studley,1982-01-19,Kenyan
1796,Francesco Marciuliano,1983-05-29,Israeli
1797,Flint Dille,1982-10-11,Indian
1798,Robin J. Baker,1981-04-24,Nigerian
1799,Carl Sagan,1969-04-26,Brazilian
1800,Morris,1940-08-29,German
1801,Dorothea Brande,1923-02-28,Portuguese
1802,Diana Wynne Jones,1951-04-27,Peruvian
1803,Jodi Ellen Malpas,1973-12-02,German
1804,Sam Childers,1969-03-28,Spanish
1805,Jocko Willink,1976-02-24,Egyptian
1806,Sara Shepard,1941-10-14,American
1807,James Krenov,1973-03-28,Israeli
1808,Brian W. Kernighan,1940-03-12,Egyptian
1809,Delia Owens,1981-11-09,Jamaican
1810,Andy Field,1980-07-28,British
1811,Ant Middleton,1923-04-24,Jamaican
1812,Christina Rose,1956-11-19,Nigerian
1813,Mark Adams,1959-11-18,Peruvian
1814,Danny Meyer,1921-04-12,Korean
1815,Mimi Kuo-Deemer,1971-10-21,Russian
1816,Intercity,1950-11-16,Israeli
1817,Tony Gemignani,1986-07-08,Greek
1818,Michael Jang,1924-10-10,Indian
1819,Diane Hopkins,1974-11-17,Korean
1820,Sophie Hansen,1957-05-05,Thai
1821,Paul Harrington,1930-07-09,Japanese
1822,Carolyn Denham,1927-04-09,Brazilian
1823,Michael Powell,1967-06-18,Korean
1824,John Marrs,1980-12-08,Kenyan
1825,Mary Jones,1982-01-06,Polish
1826,Bill Rogers,1969-06-08,Kenyan
1827,Matt Potter,1988-04-01,Canadian
1828,Aaron Franklin,1942-10-07,Jamaican
1829,Joanna Martine Woolfolk,1967-05-23,Swedish
1830,Emily Scherb,1954-08-01,Mexican
1831,Michael W. Covel,1957-07-16,Turkish
1832,Windy Chien,1952-03-11,Canadian
1833,Elyse M. Fitzpatrick,1941-02-17,German
1834,Peter Brown,1979-05-31,Polish
1835,Christiane Sanderson,1976-01-31,Italian
1836,Amy Ippoliti,1942-09-10,Portuguese
1837,Angela Saini,1952-11-29,Portuguese
1838,Chris Guillebeau,1943-02-22,Jamaican
1839,Steve Tribe,1980-09-02,Greek
1840,Richard Wienand,1934-12-12,Swedish
1841,Rich Graham,1956-10-30,Malaysian
1842,Michael Phelps,1973-10-24,Italian
1843,Teri James Bellis,1946-04-20,Portuguese
1844,Gary Zukav,1944-03-22,Spanish
1845,Ian Morris,1981-05-06,Jamaican
1846,Judith S. Beck,1985-02-03,Saudi Arabian
1847,Patricia McConnell,1972-12-22,Kenyan
1848,Professor Erik Hollnagel,1958-10-27,Brazilian
1849,Jason Vale,1964-07-20,Thai
1850,Genevieve Cogman,1961-03-22,Kenyan
1851,Amanda Brooks,1920-05-15,Indian
1852,GARANCE DORE,1987-09-17,Indian
1853,Jamie Lee Curtis,1990-07-14,Australian
1854,Gillian Hutchinson,1950-01-28,Irish
1855,Seizo Azuma,1942-05-26,Swedish
1856,Jenny Balfour-Paul,1980-11-15,Indian
1857,Marcus Hearn,1950-06-30,Korean
1858,Portia De Rossi,1990-08-12,Portuguese
1859,Egmont Uk,1945-05-26,Brazilian
1860,Kate Deering,1952-12-31,Saudi Arabian
1861,Peter C. Brown,1929-07-08,Mexican
1862,Peter H Johnston,1941-09-09,Spanish
1863,Ian Falloon,1935-01-01,Polish
1864,Anna Newton,1945-07-11,Saudi Arabian
1865,Sophie Schrey,1966-01-25,Chinese
1866,Hideo Nitta,1987-12-31,Swedish
1867,Sarah Cooper,1958-02-13,Irish
1868,Jane Webster,1967-05-09,Irish
1869,Garry L. Landreth,1921-09-22,Israeli
1870,Roderick Hunt,1984-11-11,Nigerian
1871,"""Fine Woodworking"" Magazine",1981-08-19,German
1872,Bradley Wiggins,1951-11-13,Polish
1873,Kim Krans,1931-12-05,American
1874,Christopher Behrens,1939-04-06,Australian
1875,Melly & Me,1949-09-28,French
1876,Deborah MacNamara PhD,1974-12-08,Malaysian
1877,Matthew Coombs,1954-12-13,Mexican
1878,Barbara Smit,1965-10-26,Greek
1879,Sam Kean,1981-10-25,Peruvian
1880,Evgeny Morozov,1990-10-04,Canadian
1881,Yamamoto Tsunetomo,1962-09-16,Thai
1882,Michael Swan,1947-12-19,German
1883,Adele Westbrook,1964-07-04,Israeli
1884,Ross Welford,1962-03-24,Indian
1885,Celeste Rayne Heldstab,1922-03-22,Saudi Arabian
1886,Hinkler Books Hinkler Books,1968-07-11,Australian
1887,Tobias Wolff,1964-06-13,Korean
1888,J. D. Salinger,1926-01-06,Irish
1889,Rebecca Ann Combs,1922-10-07,Nigerian
1890,Megan Hess,1950-08-04,Japanese
1891,James Rickards,1962-07-09,Japanese
1892,Rachel Reiland,1975-03-17,Brazilian
1893,Fran Lebowitz,1975-08-16,Indian
1894,Jamila Rizvi,1928-12-31,Mexican
1895,Tom Colicchio,1960-05-02,Polish
1896,Sena Runa,1921-10-11,French
1897,Matt Parker,1977-08-10,Australian
1898,David Kadavy,1938-10-28,Korean
1899,YOUCAT,1976-01-18,Japanese
1900,Professor of Philosophy Peter Godfrey-Smith,1975-10-22,French
1901,David Rock,1931-03-11,Portuguese
1902,Steven A. Frowine,1947-10-10,Greek
1903,Isabelle Legeron,1930-11-08,Mexican
1904,John Bowlby,1965-11-04,Peruvian
1905,Andrea Heistinger,1922-02-21,American
1906,E.M. Standing,1955-06-14,American
1907,Barbara Arrowsmith-Young,1940-06-19,Peruvian
1908,Barbara Demick,1951-09-08,German
1909,Toshio Odate,1924-09-24,Chinese
1910,Chris Powling,1941-11-26,Egyptian
1911,Patrick Valenza,1948-12-25,Spanish
1912,Shelley Rotner,1928-04-14,Swedish
1913,Richard Horne,1957-09-07,Nigerian
1914,Coolio,1942-01-06,Saudi Arabian
1915,Lynette Anderson,1941-07-09,Egyptian
1916,Jaron Lanier,1948-04-18,Portuguese
1917,Peter Downey,1946-01-24,Portuguese
1918,Nigel Cawthorne,1940-08-21,Greek
1919,George Davidson,1990-10-03,Spanish
1920,Ichiro Kishimi,1976-08-09,Canadian
1921,Danny Wallace,1928-08-20,Malaysian
1922,Stephenie Meyer,1932-02-14,Portuguese
1923,Dharmachari Nagaraja,1942-08-29,Korean
1924,Barbara Soloff-Levy,1928-03-15,Indian
1925,Alex Kendrick,1924-08-29,Spanish
1926,Joanne M. Harris,1965-05-28,Polish
1927,Seth Stephens-davidowitz,1959-03-24,Malaysian
1928,Nevil Shute Norway,1986-10-17,Italian
1929,Helen Aveyard,1956-12-17,American
1930,P R Spencer,1965-01-27,Spanish
1931,Marcia Monje de Castro,1985-09-06,Malaysian
1932,Dean Burnett,1950-11-09,Saudi Arabian
1933,Cindy Wilde,1922-07-31,Canadian
1934,Inc. Bungie,1984-12-04,Australian
1935,David Baker,1924-10-17,Canadian
1936,Kathryn Bonella,1965-03-26,Spanish
1937,Edward Huws Jones,1986-03-24,Greek
1938,Catana Chetwynd,1939-08-26,Jamaican
1939,Laura Markham,1929-06-23,Jamaican
1940,Will Eisner,1953-03-16,Japanese
1941,Ben Kane,1978-06-11,Egyptian
1942,Euclid,1985-02-07,Italian
1943,Trinity College London,1934-02-06,Polish
1944,Barbara Bell,1978-05-07,Kenyan
1945,Dina Wakely,1926-07-10,Jamaican
1946,Metropolitan Museum of Art,1972-07-10,Australian
1947,John J Ratey,1960-04-17,Korean
1948,Susan Jeffers,1934-11-13,Japanese
1949,Linda Bacon,1981-01-16,German
1950,A. J. Finn,1975-02-16,Malaysian
1951,Ray Kroc,1967-12-15,Russian
1952,Pamela Golbin,1971-09-16,Peruvian
1953,Sebastian Junger,1949-02-24,Brazilian
1954,Joseph Prince,1974-05-20,Russian
1955,Jeremy Butterfield,1969-05-16,Spanish
1956,David Abram,1927-06-21,British
1957,Gillian Rose,1925-01-20,Jamaican
1958,Herbert Leonard,1939-03-23,Swedish
1959,Matthew Polly,1971-01-11,Polish
1960,Christopher Crowley,1933-12-13,Greek
1961,Frank Abagnale,1921-12-21,Egyptian
1962,Scott Belsky,1927-05-07,Greek
1963,Jessica Pan,1977-07-04,Egyptian
1964,Dixon Long,1933-01-03,American
1965,Christopher Hadnagy,1939-09-12,Indian
1966,David Chang,1980-07-26,French
1967,Robin Stevens,1926-07-10,Swedish
1968,Steven Strogatz,1968-08-27,Greek
1969,Bas Aarts,1927-08-17,Egyptian
1970,Anastasia Greywolf,1978-01-26,Israeli
1971,Mick Burke,1941-12-12,Italian
1972,Delphine de Vigan,1974-06-17,Russian
1973,Rosemary Gladstar,1953-09-29,Kenyan
1974,Mairi Mackinnon,1977-06-23,Egyptian
1975,Dr. Bob Rotella,1947-05-09,American
1976,Catherine Johnson,1972-04-08,Portuguese
1977,Abdullah Yusuf Ali,1924-09-13,Nigerian
1978,Brenna Jones,1970-05-16,Polish
1979,Giles Tremlett,1926-04-13,Chinese
1980,Jacqueline Butler,1975-06-18,Saudi Arabian
1981,Susan Wearne,1985-04-20,Israeli
1982,Gloria Dura-Vila,1982-03-24,Polish
1983,Carl Paoli,1949-07-12,French
1984,Sarah Turnbull,1947-11-10,Australian
1985,Philip Toshio Sudo,1953-03-28,American
1986,Michael Hauge,1925-02-12,Brazilian
1987,Steve Haines,1985-11-29,Indian
1988,P. G. O'Neill,1960-02-15,Mexican
1989,Robin Nixon,1968-01-07,Polish
1990,Ellen DeGeneres,1926-06-28,German
1991,Michaela Morgan,1976-10-01,Swedish
1992,Gavin Edwards,1949-03-31,Japanese
1993,Anna Carlile,1949-05-16,Turkish
1994,Ron Forlee,1929-04-29,Russian
1995,E. F. Schumacher,1981-04-08,American
1996,Celia Gregory,1941-03-11,Brazilian
1997,Johnny Saldana,1961-07-12,Spanish
1998,Terry Hope Romero,1972-12-21,Kenyan
1999,Ann Weiser Cornell,1979-01-02,Nigerian
2000,C.H. Dalton,1951-01-14,Israeli
2001,Marcus Rediker,1943-07-07,Korean
2002,Evan Wright,1968-10-01,Egyptian
2003,Joseph Porter,1924-04-08,Greek
2004,Maria Emmerich,1983-07-19,Brazilian
2005,Nora T. Gedgaudas,1948-12-15,Italian
2006,Peter F Drucker,1921-06-11,Japanese
2007,John Woolley,1930-01-22,Italian
2008,Carl-Johan Forssen Ehrlin,1983-02-28,Saudi Arabian
2009,Meg Keene,1927-12-14,Israeli
2010,Chris Claremont,1990-05-01,Malaysian
2011,Dr. Mariza Snyder,1983-03-02,American
2012,Darren Morris,1929-11-28,Greek
2013,Vaseem Khan,1944-01-09,Nigerian
2014,Tone Finnanger,1982-02-11,Egyptian
2015,Ronnie O'Sullivan,1987-09-05,Japanese
2016,Rajat Parr,1955-09-08,Russian
2017,India Hicks,1946-04-16,Israeli
2018,Michael Hewitt,1964-02-21,Japanese
2019,Paul E. Kennedy,1944-04-04,Japanese
2020,Amy Einsohn,1965-01-08,French
2021,Joel Brinkley,1977-06-02,Indian
2022,Reinhard Kleist,1922-05-27,American
2023,Emrah Yayici,1987-01-01,Indian
2024,Max Horkheimer,1962-11-16,Korean
2025,Nancy Mitford,1978-07-03,Mexican
2026,Chris Anderson,1937-10-25,Irish
2027,Taffy Brodesser-akner,1958-12-21,Australian
2028,Tony Dodgins,1947-01-08,Israeli
2029,Anthony Bateman,1964-02-03,Greek
2030,Susan Hayward,1925-06-02,Australian
